user_id,external_account_id,month,balance,credit_limit,days_past_due
u_00000,u_00000_ext01,1,3951.24,8000.0,0
u_00000,u_00000_ext01,2,3885.08,8000.0,30
u_00000,u_00000_ext01,3,4008.46,8000.0,30
u_00000,u_00000_ext01,4,4276.51,8000.0,0
u_00000,u_00000_ext01,5,4314.25,8000.0,0
u_00000,u_00000_ext01,6,4282.43,8000.0,0
u_00001,u_00001_ext01,1,8017.12,20000.0,0
u_00001,u_00001_ext01,2,7820.8,20000.0,0
u_00001,u_00001_ext01,3,7755.83,20000.0,0
u_00001,u_00001_ext01,4,7887.76,20000.0,0
u_00001,u_00001_ext01,5,7656.42,20000.0,0
u_00001,u_00001_ext01,6,7043.83,20000.0,0
u_00002,u_00002_ext01,1,1097.87,3000.0,0
u_00002,u_00002_ext01,2,1122.57,3000.0,0
u_00002,u_00002_ext01,3,1128.82,3000.0,0
u_00002,u_00002_ext01,4,1111.84,3000.0,0
u_00002,u_00002_ext01,5,1160.7,3000.0,0
u_00002,u_00002_ext01,6,1124.95,3000.0,0
u_00003,u_00003_ext01,1,3776.06,8000.0,0
u_00003,u_00003_ext01,2,4003.13,8000.0,0
u_00003,u_00003_ext01,3,3980.16,8000.0,0
u_00003,u_00003_ext01,4,3994.11,8000.0,0
u_00003,u_00003_ext01,5,4104.99,8000.0,0
u_00003,u_00003_ext01,6,4161.51,8000.0,0
u_00004,u_00004_ext01,1,6662.58,15000.0,0
u_00004,u_00004_ext01,2,7132.26,15000.0,0
u_00004,u_00004_ext01,3,6938.01,15000.0,0
u_00004,u_00004_ext01,4,6652.12,15000.0,0
u_00004,u_00004_ext01,5,6758.7,15000.0,0
u_00004,u_00004_ext01,6,6299.49,15000.0,0
u_00005,u_00005_ext01,1,1451.76,3000.0,0
u_00005,u_00005_ext01,2,1512.68,3000.0,0
u_00005,u_00005_ext01,3,1415.97,3000.0,0
u_00005,u_00005_ext01,4,1390.66,3000.0,0
u_00005,u_00005_ext01,5,1353.0,3000.0,0
u_00005,u_00005_ext01,6,1284.73,3000.0,0
u_00006,u_00006_ext01,1,7446.8,20000.0,0
u_00006,u_00006_ext01,2,6929.06,20000.0,0
u_00006,u_00006_ext01,3,7018.34,20000.0,0
u_00006,u_00006_ext01,4,7144.09,20000.0,0
u_00006,u_00006_ext01,5,6989.74,20000.0,0
