group_id,group_size,group_similarity,member_query_ids,member_meeting_ids,member_domains,same_meeting,same_domain
IS1003b_sq_6_IS1003d_sq_0,2,1.0,IS1003b_sq_6|IS1003d_sq_0,IS1003b|IS1003d,Product|Product,False,True
Bmr023_sq_3_Bmr023_sq_5,2,1.0,Bmr023_sq_3|Bmr023_sq_5,Bmr023|Bmr023,Academic|Academic,True,True
IS1003b_sq_3_IS1003c_sq_3,2,0.9697095155715942,IS1003b_sq_3|IS1003c_sq_3,IS1003b|IS1003c,Product|Product,False,True
TS3004c_sq_3_TS3011a_sq_0,2,0.9655466079711914,TS3004c_sq_3|TS3011a_sq_0,TS3004c|TS3011a,Product|Product,False,True
Bmr014_sq_2_Bmr023_sq_2,2,0.9641720056533812,Bmr014_sq_2|Bmr023_sq_2,Bmr014|Bmr023,Academic|Academic,False,True
TS3011a_sq_1_TS3011b_sq_2,2,0.9026595950126648,TS3011a_sq_1|TS3011b_sq_2,TS3011a|TS3011b,Product|Product,False,True
TS3011b_sq_0_TS3011c_sq_0,2,0.8984159231185913,TS3011b_sq_0|TS3011c_sq_0,TS3011b|TS3011c,Product|Product,False,True
ES2004c_sq_1_ES2011d_sq_0,2,0.8965007066726685,ES2004c_sq_1|ES2011d_sq_0,ES2004c|ES2011d,Product|Product,False,True
TS3011a_sq_1_TS3011c_sq_3,2,0.881801187992096,TS3011a_sq_1|TS3011c_sq_3,TS3011a|TS3011c,Product|Product,False,True
TS3011b_sq_2_TS3011c_sq_3,2,0.8812512755393982,TS3011b_sq_2|TS3011c_sq_3,TS3011b|TS3011c,Product|Product,False,True
ES2011d_sq_1_TS3011c_sq_0,2,0.8586544394493103,ES2011d_sq_1|TS3011c_sq_0,ES2011d|TS3011c,Product|Product,False,True
IS1003b_sq_5_TS3004a_sq_5,2,0.8574273586273193,IS1003b_sq_5|TS3004a_sq_5,IS1003b|TS3004a,Product|Product,False,True
TS3004c_sq_3_TS3011c_sq_0,2,0.8543831706047058,TS3004c_sq_3|TS3011c_sq_0,TS3004c|TS3011c,Product|Product,False,True
ES2011b_sq_0_TS3011c_sq_3,2,0.8519027233123779,ES2011b_sq_0|TS3011c_sq_3,ES2011b|TS3011c,Product|Product,False,True
ES2004c_sq_1_TS3011b_sq_0,2,0.8496902585029602,ES2004c_sq_1|TS3011b_sq_0,ES2004c|TS3011b,Product|Product,False,True
ES2011d_sq_1_TS3004c_sq_3,2,0.8480520248413086,ES2011d_sq_1|TS3004c_sq_3,ES2011d|TS3004c,Product|Product,False,True
ES2004c_sq_5_IS1003c_sq_0,2,0.8405901789665222,ES2004c_sq_5|IS1003c_sq_0,ES2004c|IS1003c,Product|Product,False,True
ES2004c_sq_1_TS3011c_sq_0,2,0.8396333456039429,ES2004c_sq_1|TS3011c_sq_0,ES2004c|TS3011c,Product|Product,False,True
ES2011d_sq_0_TS3011c_sq_0,2,0.8259032964706421,ES2011d_sq_0|TS3011c_sq_0,ES2011d|TS3011c,Product|Product,False,True
